id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
14792,166563,Oni Zero: Fukkatsu,NULL,2001-03-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15296,46083,Zanac X Zanac,NULL,2001-11-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15354,46889,Venture II,NULL,2001-08-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15488,122873,Tantei Shinshi Dash!,NULL,2001-01-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15723,49916,Sesame Street Sports,NULL,2001-12-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15993,46512,Spike's Water Ballons Analog,NULL,2001-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16393,37361,Memories Off: Festa,NULL,2001-04-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16469,93226,Erevos,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16644,122732,TerraRealms: The Discovery - Episode I,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16710,63505,Uchuujin Tanaka Tarou de RPG Tsukuuru GB2,NULL,2001-07-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16906,6501,L'Aigle de Guerre,NULL,2001-03-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
17044,21614,Cube,NULL,2001-12-31 00:00:00.000,NULL,NULL,59.0000,2,NULL,NULL
17071,125305,The Diamond Mystery in Rosemond Valley,NULL,2001-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
17153,44957,Card Games,NULL,2001-09-28 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
17770,75408,Super Real Mahjong,NULL,2001-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
18007,5920,Mary-Kate & Ashley: Crush Course,NULL,2001-11-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
18263,6396,Ecks vs. Sever,NULL,2001-11-21 00:00:00.000,NULL,NULL,60.0000,1,NULL,NULL
18630,78109,Benjamin Blumchen: Ein verruckter Tag Im Zoo,NULL,2001-01-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
18892,73374,Warm Up!,NULL,2001-02-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19055,50014,The F.A. Premier League Stars 2001,NULL,2001-07-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19179,59925,Red Pixel,NULL,2001-12-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19307,4864,Inspector Gadget: Advance Mission,NULL,2001-11-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19325,44689,Choukousoku Reversi,NULL,2001-01-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19429,13773,The Famous Five: Dangerous Discovery,NULL,2001-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19478,132065,King's Quest I: Quest for the Crown,NULL,2001-08-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19944,78048,Xianjian Kezhan,NULL,2001-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
20153,97120,GuitarFreaks 4thMIX,NULL,2001-09-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
20379,57624,Nakoruru: Anohito kara no Okurimono,NULL,2001-07-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
20998,8601,Fear Effect 2: Retro Helix,NULL,2001-02-21 00:00:00.000,1,NULL,50.0000,1,73.3516,12
21003,50031,Flipper & Lopaka,NULL,2001-04-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21052,43792,Victory Boxing Challenger,NULL,2001-01-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21086,6531,Payback,NULL,2001-02-15 00:00:00.000,NULL,NULL,60.0000,1,NULL,NULL
21419,146607,Carrera: Grand Prix,NULL,2001-10-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21533,138970,Lunar Wing: Toki o Koeta Seisen,NULL,2001-07-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21684,49980,Xtreme Wheels,NULL,2001-04-26 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21936,71612,911 Fire Rescue,NULL,2001-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
22022,181187,Kimi ga Ita Kisetsu,"Masaki has 4 childhood friends – Yayoi, Michiru, Marika and Akira who are all sisters, they let him stay in one of their family’s apartments since he doesn’t live with his family. Masaki’s hobby is photography and one day, he meets a famous photographer who lets Masaki become his apprentice. Time passes, and Masaki also gets a girlfriend too and life couldn’t be any happier for him.

However, one day he is asked to go to America to work in the huge photography business over there but he thinks that having a long distance relationship would be incredibly hard. He now has a life-changing decision to make – does he follow his dream or does he stay with the person who he loves most in this world?",2001-08-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22082,49808,Space Hexcite: Maetel Legend EX,NULL,2001-05-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22192,125742,Green Green,"Green Green takes place in Japan’s countryside, in a non-descript region with forests and an isolated boarding school known as Kanenone Gakuen. The academy boasts of an entirely male population, and prides itself of the tradition of men growing amongst other men without any external influences to disturb them. 
 
The protagonist is named Yuusuke Takasaki, a second year student that is indifferent to the lonely, girl-deprived atmosphere that surrounds the school. His three friends, Tadatomo “Bacchiguu” Ijuuin, Hikaru Ichibanboshi and Taizou Tenjin, however, feel as if they are being denied their youth by having no females to interact with. As the summer session at Kanenone begins, Yuusuke and friends wonder what the change of season will bring to them, when Bacchiguu brings news that a bus full of girls has arrived on school grounds. 
 
As luck would have it, Kanenone’s current administration is considering making the academy co-ed, and in order to see how the change would affect the student body, first and second year girls have been brought to live on school grounds for one month. Though Yuusuke takes the change in stride, his three hormone-driven friends see this as the true beginning of their youth.",2001-10-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22342,8941,Project Eden,NULL,2001-10-08 00:00:00.000,4,NULL,70.0000,1,69.9058,13
